id,age_min,age_max,raw_min,raw_max,standard,percentile
co,13,14,20,21,11,63
co,13,14,22,22,12,75
co,13,14,23,24,13,84
co,13,14,25,25,14,91
co,13,14,26,26,15,95
co,13,14,27,27,16,98
co,13,14,28,28,17,99
co,13,14,29,29,18,100
co,13,14,30,30,19,100
co,13,14,31,inf,20,100

fg,13,14,0,0,2,0
fg,13,14,1,1,3,1
fg,13,14,2,2,4,2
fg,13,14,3,3,5,3
fg,13,14,4,4,6,9
fg,13,14,5,5,7,16
fg,13,14,6,6,8,25
fg,13,14,7,7,9,37
fg,13,14,8,8,10,50
fg,13,14,9,9,11,63
fg,13,14,10,10,12,75
fg,13,14,11,11,13,84
fg,13,14,12,12,14,91
fg,13,14,13,13,15,95
fg,13,14,14,inf,16,98

vse,13,14,96,inf,1,0
vse,13,14,90,95,2,0
vse,13,14,74,89,3,1
vse,13,14,63,73,4,2
vse,13,14,55,62,5,3
vse,13,14,49,54,6,9
vse,13,14,45,48,7,16
vse,13,14,42,44,8,25
vse,13,14,38,41,9,37
vse,13,14,35,37,10,50
vse,13,14,32,34,11,63
vse,13,14,30,31,12,75
vse,13,14,28,29,13,84
vse,13,14,26,27,14,91
vse,13,14,25,25,15,95
vse,13,14,24,24,16,98
vse,13,14,23,23,17,99
vse,13,14,22,22,18,100
vse,13,14,21,21,19,100
vse,13,14,0,20,20,100

vc,13,14,0,5,1,0
vc,13,14,6,6,2,0
vc,13,14,7,7,3,1
vc,13,14,8,8,4,2
vc,13,14,9,9,5,3
vc,13,14,10,10,6,9
vc,13,14,11,11,7,16
vc,13,14,12,12,8,25
vc,13,14,13,13,9,37
vc,13,14,14,14,10,50
vc,13,14,15,15,11,63
vc,13,14,16,inf,12,75

vsp,13,14,0,14,1,0
vsp,13,14,15,18,2,0
vsp,13,14,19,21,3,1
vsp,13,14,22,24,4,2
vsp,13,14,25,28,5,3
vsp,13,14,29,31,6,9
vsp,13,14,32,35,7,16
vsp,13,14,36,39,8,25
vsp,13,14,40,42,9,37
vsp,13,14,43,46,10,50
vsp,13,14,47,50,11,63
vsp,13,14,51,53,12,75
vsp,13,14,54,57,13,84
vsp,13,14,58,60,14,91
vsp,13,14,61,63,15,95
vsp,13,14,64,66,16,98
