id,age_min,age_max,raw_min,raw_max,standard,rank
hg12,8,9,40,43,6,1
hg12,8,9,44,44,5,2
hg12,8,9,45,inf,4,2

hg12,9,10,0,21,16,0
hg12,9,10,22,23,15,0
hg12,9,10,24,25,14,0
hg12,9,10,26,26,13,0
hg12,9,10,27,27,12,0
hg12,9,10,28,29,11,0
hg12,9,10,30,30,10,0
hg12,9,10,31,32,9,0
hg12,9,10,33,34,8,0
hg12,9,10,35,36,7,0
hg12,9,10,37,40,6,1
hg12,9,10,41,44,5,2
hg12,9,10,45,inf,4,2

hg12,10,11,0,20,16,0
hg12,10,11,21,22,15,0
hg12,10,11,23,23,14,0
hg12,10,11,24,24,13,0
hg12,10,11,25,26,12,0
hg12,10,11,27,27,11,0
hg12,10,11,28,28,10,0
hg12,10,11,29,29,9,0
hg12,10,11,30,30,8,0
hg12,10,11,31,33,7,0
hg12,10,11,34,38,6,1
hg12,10,11,39,40,5,2
hg12,10,11,41,inf,4,2

hg12,11,12,0,14,17,0
hg12,11,12,15,15,16,0
hg12,11,12,16,16,15,0
hg12,11,12,17,17,14,0
hg12,11,12,18,18,13,0
hg12,11,12,19,20,12,0
hg12,11,12,21,21,11,0
hg12,11,12,22,23,10,0
hg12,11,12,24,25,9,0
hg12,11,12,26,27,8,0
hg12,11,12,28,30,7,0
hg12,11,12,31,32,6,1
hg12,11,12,33,37,5,2
hg12,11,12,38,38,4,2
hg12,11,12,39,40,3,2
hg12,11,12,41,inf,1,2

hg12,12,13,0,15,16,0
hg12,12,13,16,16,14,0
hg12,12,13,17,17,13,0
hg12,12,13,18,18,12,0
hg12,12,13,19,20,11,0
hg12,12,13,21,21,10,0
hg12,12,13,22,22,9,0
hg12,12,13,23,24,8,0
hg12,12,13,25,25,7,0
hg12,12,13,26,27,6,1
hg12,12,13,28,30,5,2
hg12,12,13,31,33,4,2
hg12,12,13,34,39,3,2
hg12,12,13,40,inf,1,2

hg12,13,14,0,15,16,0
hg12,13,14,16,16,14,0
hg12,13,14,17,17,13,0
hg12,13,14,18,18,12,0
hg12,13,14,19,19,11,0
hg12,13,14,20,21,10,0
hg12,13,14,22,22,9,0
hg12,13,14,23,24,8,0
hg12,13,14,25,25,7,0
hg12,13,14,26,27,6,1
hg12,13,14,28,28,5,2
hg12,13,14,29,29,4,2
hg12,13,14,30,30,3,2
hg12,13,14,31,inf,1,2

hg12,14,15,0,15,16,0
hg12,14,15,16,16,14,0
hg12,14,15,17,17,13,0
hg12,14,15,18,19,11,0
hg12,14,15,20,21,10,0
hg12,14,15,22,22,9,0
hg12,14,15,23,24,8,0
hg12,14,15,25,25,7,0
hg12,14,15,26,27,6,1
hg12,14,15,28,28,5,2
hg12,14,15,29,inf,1,2

hg12,15,16,0,14,16,0
hg12,15,16,15,15,14,0
hg12,15,16,16,17,13,0
hg12,15,16,18,19,11,0
hg12,15,16,20,21,10,0
hg12,15,16,22,22,8,0
hg12,15,16,23,24,7,0
hg12,15,16,25,27,6,1
hg12,15,16,28,28,5,2
hg12,15,16,29,inf,1,2

hg2,5,6,0,24,17,0
hg2,5,6,25,29,16,0
hg2,5,6,30,35,15,0
hg2,5,6,36,38,14,0
hg2,5,6,39,40,13,0
hg2,5,6,41,43,12,0
hg2,5,6,44,47,11,0
hg2,5,6,48,49,10,0
hg2,5,6,50,53,9,0
hg2,5,6,54,55,8,0
hg2,5,6,56,60,7,0
hg2,5,6,61,66,5,2
hg2,5,6,67,96,4,2
hg2,5,6,97,121,3,2
hg2,5,6,122,inf,1,2

hg2,6,7,0,24,17,0
hg2,6,7,25,28,16,0
hg2,6,7,29,31,15,0
hg2,6,7,32,33,14,0
hg2,6,7,34,35,13,0
hg2,6,7,36,37,12,0
hg2,6,7,38,42,11,0
hg2,6,7,43,45,10,0
hg2,6,7,46,47,9,0
hg2,6,7,48,49,8,0
hg2,6,7,50,54,7,0
hg2,6,7,55,58,6,1
hg2,6,7,59,63,5,2
hg2,6,7,64,64,4,2
hg2,6,7,65,73,3,2
hg2,6,7,74,inf,1,2

hg2,7,8,0,20,16,0
hg2,7,8,21,21,15,0
hg2,7,8,22,22,14,0
hg2,7,8,23,24,13,0
hg2,7,8,25,26,12,0
hg2,7,8,27,29,11,0
hg2,7,8,30,30,10,0
hg2,7,8,31,32,9,0
hg2,7,8,33,34,8,0
hg2,7,8,35,36,7,0
hg2,7,8,37,40,6,1
hg2,7,8,41,48,5,2
hg2,7,8,49,inf,3,2

hg2,8,9,0,17,15,0
hg2,8,9,18,18,14,0
hg2,8,9,19,20,13,0
hg2,8,9,21,24,12,0
hg2,8,9,25,25,11,0
hg2,8,9,26,26,10,0
hg2,8,9,27,28,9,0
hg2,8,9,29,31,8,0
hg2,8,9,32,33,7,0
hg2,8,9,34,35,6,1
hg2,8,9,36,41,5,2
hg2,8,9,42,45,4,2
hg2,8,9,46,inf,3,2

hg2,9,10,0,16,15,0
hg2,9,10,17,17,14,0
hg2,9,10,18,19,13,0
hg2,9,10,20,20,12,0
hg2,9,10,21,21,11,0
hg2,9,10,22,24,10,0
hg2,9,10,25,26,9,0
hg2,9,10,27,27,8,0
hg2,9,10,28,29,7,0
hg2,9,10,30,32,6,1
hg2,9,10,33,33,5,2
hg2,9,10,34,36,4,2
hg2,9,10,37,44,3,2
hg2,9,10,45,inf,2,2

hg2,10,11,0,15,15,0
hg2,10,11,16,16,14,0
hg2,10,11,17,18,13,0
hg2,10,11,19,19,12,0
hg2,10,11,20,21,11,0
hg2,10,11,22,22,10,0
hg2,10,11,23,23,9,0
hg2,10,11,24,24,8,0
hg2,10,11,25,27,7,0
hg2,10,11,28,32,6,1
hg2,10,11,33,33,5,2
hg2,10,11,34,36,4,2
hg2,10,11,37,44,3,2
hg2,10,11,45,inf,2,2

hg2,11,12,0,23,17,0
hg2,11,12,24,24,16,0
hg2,11,12,25,26,15,0
hg2,11,12,27,27,14,0
